City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Kaolack,IN,84.49,broken clouds,14.1825,-16.2533,
6,Pemberton,IN,87.49,scattered clouds,50.3164,-122.8027,Pemberton Valley Lodge
11,Praia Da Vitoria,IN,75.45,few clouds,38.7333,-27.0667,Hotel Branco I
20,Albany,IN,80.02,overcast clouds,42.6001,-73.9662,
22,Santa Cruz,IN,82.45,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
23,Iwaki,IN,81.01,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
24,Kavaratti,IN,82.08,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
26,Ransang,IN,81.37,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
29,Hithadhoo,IN,81.75,scattered clouds,-0.6,73.0833,Scoop Guest House
36,Atuona,IN,78.67,scattered clouds,-9.8,-139.0333,Villa Enata
37,Balkhash,IN,75.58,clear sky,46.843999999999994,74.9804,Family
39,Kavieng,IN,83.5,few clouds,-2.5744,150.7967,Nusa Island Retreat
45,San Cristobal,IN,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
46,Kamaishi,IN,78.37,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
52,Bodden Town,IN,88.0,few clouds,19.2833,-81.25,Will T Place
53,Asyut,IN,83.07,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
54,Broome,IN,79.09,clear sky,42.2506,-75.833,Chenango Valley State Park
57,Bengkulu,IN,75.22,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Kapaa,IN,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Eyl,IN,80.62,overcast clouds,7.9803,49.8164,Amiin Hotel
65,Bonthe,IN,75.85,light rain,7.5264,-12.505,Bonthe Holiday Village
66,Ahuimanu,IN,89.31,light rain,21.4447,-157.8378,Paradise Bay Resort
69,Lompoc,IN,89.69,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
70,Hilo,IN,81.63,mist,19.7297,-155.09,Hilo Hawaiian Hotel
73,Trinidad,IN,87.78,clear sky,-14.8333,-64.9,Hotel Piesta
76,Butaritari,IN,83.64,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Avarua,IN,78.85,few clouds,-21.2078,-159.775,Paradise Inn
84,Termoli,IN,82.26,scattered clouds,41.9888,14.9895,Hotel Mistral
85,Georgetown,IN,82.89,haze,5.4112,100.3354,Cititel Penang
90,Puerto Ayora,IN,82.36,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
94,Bac Lieu,IN,78.4,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
95,Southbridge,IN,80.24,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
103,Sao Miguel Do Araguaia,IN,76.12,few clouds,-13.275,-50.1628,Hotel Executivo Palace
107,Saskatoon,IN,84.94,few clouds,52.1168,-106.6345,Sheraton Cavalier Saskatoon Hotel
113,Port-Gentil,IN,75.31,overcast clouds,-0.7193,8.7815,Fengshui Residence
125,Bagra,IN,79.95,broken clouds,23.7333,86.3167,Dj nandi House
127,Kahului,IN,86.02,light rain,20.8947,-156.47,Maui Seaside Hotel
128,Salalah,IN,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
134,Muroto,IN,77.04,overcast clouds,33.2833,134.15,Oota Ryokan
137,San Matias,IN,82.53,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
138,Tautira,IN,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
139,Zhezkazgan,IN,82.6,clear sky,47.8043,67.7144,Hotel Zumrat
142,Hasaki,IN,79.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
144,Westport,IN,80.62,clear sky,41.1415,-73.3579,The Westport Inn
146,Gizo,IN,82.2,moderate rain,-8.103,156.8419,Imagination Island
148,Mucurapo,IN,82.45,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
153,Umm Lajj,IN,84.7,clear sky,25.0213,37.2685,Moon light Furnished Units
154,Bacolod,IN,80.17,broken clouds,10.6667,122.95,Planta Hotel & Residences
165,Mozarlandia,IN,77.23,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
166,Touros,IN,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
167,Hambantota,IN,79.07,overcast clouds,6.1241,81.1185,Bungalow 63
168,Kuryk,IN,80.33,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
169,Nizwa,IN,86.94,overcast clouds,22.9333,57.5333,Orient Apartments
172,Corinth,IN,80.69,clear sky,37.9407,22.9573,Ephira Hotel
173,Victoria,IN,82.38,light rain,22.2855,114.1577,Mini Hotel Central
179,Bacungan,IN,81.57,overcast clouds,9.9106,118.7022,Sumayang Property
184,Mantua,IN,79.84,few clouds,45.1667,10.7833,Hotel la Favorita
189,Bathsheba,IN,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
190,Awjilah,IN,78.33,clear sky,29.1081,21.2869,
192,Cozumel,IN,86.11,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
194,Parga,IN,75.18,clear sky,39.2831,20.3964,Palatino Hotel
196,Palmas Bellas,IN,83.01,overcast clouds,9.2319,-80.0867,Estación de Chagres
197,Vaini,IN,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
198,Suez,IN,77.45,clear sky,29.9737,32.5263,Green House
203,Imperatriz,IN,81.41,broken clouds,-5.5264,-47.4917,Imperial Hotel
