City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Longyearbyen,78.2186,15.6401,42.64,87,75,17.27,IN,broken clouds
1,Kaolack,14.1825,-16.2533,84.49,61,53,12.01,IN,broken clouds
2,Adrar,20.5022,-10.0711,93.63,25,63,5.48,IN,broken clouds
3,Jamestown,42.097,-79.2353,73.71,84,75,5.01,IN,broken clouds
4,Ushuaia,-54.8,-68.3,37.06,75,75,5.75,IN,broken clouds
5,Ponta Do Sol,32.6667,-17.1,72.72,81,0,6.69,IN,clear sky
6,Pemberton,50.3164,-122.8027,87.49,34,26,6.87,IN,scattered clouds
7,Guiratinga,-16.3494,-53.7583,73.26,37,0,3.78,IN,clear sky
8,Arraial Do Cabo,-22.9661,-42.0278,70.16,76,0,23.09,IN,clear sky
9,Hermanus,-34.4187,19.2345,50.9,56,14,5.68,IN,few clouds
10,Rikitea,-23.1203,-134.9692,69.35,54,0,1.83,IN,clear sky
11,Praia Da Vitoria,38.7333,-27.0667,75.45,78,20,14.65,IN,few clouds
12,Todos Santos,23.45,-110.2167,97.02,82,69,6.69,IN,broken clouds
13,Avera,33.194,-82.5271,91.44,41,12,6.53,IN,few clouds
14,Punta Arenas,-53.15,-70.9167,37.51,81,75,16.11,IN,broken clouds
15,Calama,-22.4667,-68.9333,64.89,8,4,14.97,IN,clear sky
16,Ilulissat,69.2167,-51.1,44.62,81,75,10.36,IN,broken clouds
17,Kalabo,-14.97,22.6814,60.67,55,2,9.69,IN,clear sky
18,Bluff,-46.6,168.3333,45.81,69,100,10.07,IN,overcast clouds
19,Yellowknife,62.456,-114.3525,58.32,52,75,4.0,IN,broken clouds
20,Albany,42.6001,-73.9662,80.02,58,90,1.99,IN,overcast clouds
21,Te Anau,-45.4167,167.7167,46.83,79,100,3.2,IN,overcast clouds
22,Santa Cruz,-17.8,-63.1667,82.45,47,0,19.57,IN,clear sky
23,Iwaki,37.05,140.8833,81.01,76,3,1.01,IN,clear sky
24,Kavaratti,10.5669,72.642,82.08,79,84,19.57,IN,broken clouds
25,Mataura,-46.1927,168.8643,46.47,79,100,3.6,IN,overcast clouds
26,Ransang,8.9603,117.5828,81.37,79,100,9.91,IN,overcast clouds
27,Tuatapere,-46.1333,167.6833,46.81,76,100,5.99,IN,overcast clouds
28,Junin,-34.5838,-60.9433,56.48,92,90,8.68,IN,overcast clouds
29,Hithadhoo,-0.6,73.0833,81.75,78,48,10.78,IN,scattered clouds
30,Yumen,40.2833,97.2,73.33,51,44,4.85,IN,scattered clouds
31,Przhevalskoye,55.5093,31.8482,52.29,78,22,3.94,IN,few clouds
32,Carnarvon,-24.8667,113.6333,59.07,70,100,10.36,IN,overcast clouds
33,Makinsk,52.6292,70.4169,66.99,41,94,2.89,IN,overcast clouds
34,Chuy,-33.6971,-53.4616,55.85,85,98,6.89,IN,overcast clouds
35,Port Elizabeth,-33.918,25.5701,50.29,76,40,6.91,IN,scattered clouds
36,Atuona,-9.8,-139.0333,78.67,71,36,17.49,IN,scattered clouds
37,Balkhash,46.844,74.9804,75.58,40,1,1.48,IN,clear sky
38,Barrow,71.2906,-156.7887,41.02,87,90,5.75,IN,light rain
39,Kavieng,-2.5744,150.7967,83.5,73,15,9.01,IN,few clouds
40,Severo-Kurilsk,50.6789,156.125,56.55,92,66,2.17,IN,broken clouds
41,New Norfolk,-42.7826,147.0587,44.92,79,85,4.0,IN,overcast clouds
42,Busselton,-33.65,115.3333,57.09,75,99,16.28,IN,overcast clouds
43,Mar Del Plata,-38.0023,-57.5575,51.13,60,90,11.99,IN,overcast clouds
44,Port Lincoln,-34.7333,135.8667,54.82,73,63,18.32,IN,broken clouds
45,San Cristobal,7.7669,-72.225,80.78,88,100,4.43,IN,overcast clouds
46,Kamaishi,39.2667,141.8833,78.37,75,16,5.37,IN,few clouds
47,Pangnirtung,66.1451,-65.7125,52.5,63,100,6.42,IN,overcast clouds
48,Bredasdorp,-34.5322,20.0403,40.32,93,18,3.44,IN,few clouds
49,Thompson,55.7435,-97.8558,73.56,53,40,10.36,IN,scattered clouds
50,Lavrentiya,65.5833,-171.0,44.76,98,100,11.34,IN,light rain
51,Nuuk,64.1835,-51.7216,45.21,70,40,5.75,IN,scattered clouds
52,Bodden Town,19.2833,-81.25,88.0,71,20,1.99,IN,few clouds
53,Asyut,27.181,31.1837,83.07,32,0,8.19,IN,clear sky
54,Broome,42.2506,-75.833,79.09,65,1,1.01,IN,clear sky
55,Dikson,73.5069,80.5464,37.6,95,97,11.88,IN,overcast clouds
56,Tuktoyaktuk,69.4541,-133.0374,66.2,45,75,14.97,IN,broken clouds
57,Bengkulu,-3.8004,102.2655,75.22,84,26,4.41,IN,scattered clouds
58,Kapaa,22.0752,-159.319,84.18,82,90,5.99,IN,light rain
59,Montrose,38.4166,-108.2673,69.21,77,62,4.92,IN,broken clouds
60,Eyl,7.9803,49.8164,80.62,55,85,25.86,IN,overcast clouds
61,Dharchula,29.85,80.5333,73.83,97,99,0.34,IN,overcast clouds
62,Nikolskoye,59.7035,30.7861,56.01,68,42,3.98,IN,scattered clouds
63,Tonj,7.2737,28.6822,70.16,96,100,4.94,IN,overcast clouds
64,Tasiilaq,65.6145,-37.6368,42.96,98,100,5.14,IN,light rain
65,Bonthe,7.5264,-12.505,75.85,86,100,6.33,IN,light rain
66,Ahuimanu,21.4447,-157.8378,89.31,69,75,16.11,IN,light rain
67,Santa Maria,-29.6842,-53.8069,69.1,68,0,5.75,IN,clear sky
68,Port Alfred,-33.5906,26.891,53.44,67,0,15.64,IN,clear sky
69,Lompoc,34.6391,-120.4579,89.69,68,20,11.5,IN,few clouds
70,Hilo,19.7297,-155.09,81.63,88,90,6.91,IN,mist
71,Mount Darwin,-16.7725,31.5838,46.51,65,3,4.5,IN,clear sky
72,Qaanaaq,77.484,-69.3632,40.89,67,100,2.8,IN,overcast clouds
73,Trinidad,-14.8333,-64.9,87.78,51,0,4.61,IN,clear sky
74,Voyvozh,62.892,54.9635,39.47,98,48,5.59,IN,scattered clouds
75,Hobart,-42.8794,147.3294,45.27,70,40,4.0,IN,scattered clouds
76,Butaritari,3.0707,172.7902,83.64,75,76,14.47,IN,light rain
77,Tarakan,3.3,117.6333,74.7,94,75,3.44,IN,broken clouds
78,North Bend,43.4065,-124.2243,68.16,82,75,29.93,IN,mist
79,Avarua,-21.2078,-159.775,78.85,69,20,9.22,IN,few clouds
80,Cabo San Lucas,22.8909,-109.9124,97.52,59,20,8.99,IN,few clouds
81,Olafsvik,64.8945,-23.7142,50.07,85,84,12.57,IN,broken clouds
82,Cape Town,-33.9258,18.4232,51.28,81,35,2.3,IN,smoke
83,Clyde River,70.4692,-68.5914,34.03,100,90,18.41,IN,moderate rain
