City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Djambala,CG,2021-07-23 21:35:04,-2.5447,14.7533,73.44,48,75,5.57
1,Castro,BR,2021-07-23 21:35:04,-24.7911,-50.0119,54.68,77,0,3.31
2,Port Shepstone,ZA,2021-07-23 21:35:05,-30.7414,30.455,53.94,62,51,15.95
3,Punta Arenas,CL,2021-07-23 21:35:05,-53.15,-70.9167,37.51,87,40,17.27
4,Tasiilaq,GL,2021-07-23 21:33:22,65.6145,-37.6368,41.16,99,100,4.5
5,Olinda,BR,2021-07-23 21:30:07,-8.0089,-34.8553,74.93,69,40,14.97
6,Pangnirtung,CA,2021-07-23 21:34:06,66.1451,-65.7125,48.67,67,99,6.87
7,Longyearbyen,SJ,2021-07-23 21:33:44,78.2186,15.6401,44.44,87,75,8.05
8,Acarau,BR,2021-07-23 21:35:06,-2.8856,-40.12,79.16,77,10,17.2
9,Luan,CH,2021-07-23 21:35:06,46.3592,6.9759,68.02,86,85,5.73
10,Guerrero Negro,MX,2021-07-23 21:35:07,27.9769,-114.0611,81.88,54,21,15.79
11,Kodiak,US,2021-07-23 21:33:15,57.79,-152.4072,54.91,88,90,13.8
12,Hit,IQ,2021-07-23 21:35:07,33.6416,42.8251,94.26,23,0,13.29
13,Carnarvon,AU,2021-07-23 21:35:07,-24.8667,113.6333,59.07,67,75,9.22
14,Severo-Kurilsk,RU,2021-07-23 21:35:08,50.6789,156.125,56.16,90,92,7.81
15,Te Anau,NZ,2021-07-23 21:32:05,-45.4167,167.7167,41.58,90,42,1.12
16,Dashitou,CN,2021-07-23 21:35:08,43.3067,128.5114,72.23,79,100,2.48
17,Antofagasta,CL,2021-07-23 21:33:45,-23.65,-70.4,58.28,79,91,4.29
18,Arrifes,PT,2021-07-23 21:35:08,37.7667,-25.7,68.25,88,40,11.5
19,Bluff,NZ,2021-07-23 21:35:09,-46.6,168.3333,43.81,79,75,11.01
20,Ushuaia,AR,2021-07-23 21:35:09,-54.8,-68.3,37.06,87,40,19.57
21,Kavaratti,IN,2021-07-23 21:35:09,10.5669,72.642,81.7,82,93,21.63
22,Agadir,MA,2021-07-23 21:35:10,30.4202,-9.5982,77.45,42,65,2.68
23,Hermanus,ZA,2021-07-23 21:35:10,-34.4187,19.2345,48.9,76,0,12.19
24,Port Alfred,ZA,2021-07-23 21:35:10,-33.5906,26.891,53.26,66,100,4.43
25,Mahebourg,MU,2021-07-23 21:35:11,-20.4081,57.7,68.29,83,75,5.75
26,Olga,RU,2021-07-23 21:35:11,43.7444,135.2892,79.25,80,3,0.56
27,Puerto Ayora,EC,2021-07-23 21:35:11,-0.7393,-90.3518,82.36,82,98,4.0
28,Nikolskoye,RU,2021-07-23 21:35:12,59.7035,30.7861,61.02,63,95,3.67
29,Victoria,HK,2021-07-23 21:31:19,22.2855,114.1577,86.38,86,74,1.01
30,Arraial Do Cabo,BR,2021-07-23 21:33:36,-22.9661,-42.0278,69.66,68,0,12.66
31,Port Hardy,CA,2021-07-23 21:30:13,50.6996,-127.4199,60.98,82,90,4.61
32,Guajara,BR,2021-07-23 21:35:13,-2.9667,-57.6667,85.05,53,83,2.48
33,Rikitea,PF,2021-07-23 21:35:13,-23.1203,-134.9692,71.35,60,88,13.35
34,Caravelas,BR,2021-07-23 21:35:13,-17.7125,-39.2481,68.38,83,100,7.25
35,Chingola,ZM,2021-07-23 21:35:14,-12.529,27.8838,62.58,57,88,9.93
36,Mangan,IN,2021-07-23 21:35:14,27.5167,88.5333,75.92,92,62,1.45
37,Barrow,US,2021-07-23 21:33:17,71.2906,-156.7887,39.22,87,90,16.11
38,Lompoc,US,2021-07-23 21:35:14,34.6391,-120.4579,92.01,65,66,14.97
39,Krivosheino,RU,2021-07-23 21:35:15,57.3431,83.9261,57.83,81,90,4.68
40,Saldanha,ZA,2021-07-23 21:35:15,-33.0117,17.9442,44.65,66,0,9.93
41,Dingle,PH,2021-07-23 21:35:16,10.9995,122.6711,78.35,86,100,13.06
